haredi_defect,amcha_right,p_netanyahu_pm,p_eisenkot_pm,p_repeat_election
0.1,0.15,0.161,0.424,0.243
0.1,0.35,0.184,0.424,0.221
0.1,0.55,0.208,0.42,0.201
0.3,0.15,0.153,0.46,0.197
0.3,0.35,0.177,0.458,0.176
0.3,0.55,0.202,0.452,0.159
0.5,0.15,0.145,0.495,0.146
0.5,0.35,0.17,0.491,0.129
0.5,0.55,0.196,0.484,0.116
