component,moment_matched,hier_mean,hier_sd
bloc swing sd,3.36,1.88,1.26
arab mean,-0.32,-0.35,0.82
arab sd,1.45,0.84,0.65
haredi mean,-1.35,-0.77,1.0
haredi sd,1.77,0.93,0.68
likud anchor,-2.3,-1.01,0.85
leader anchor,-1.74,0.04,0.77
residual sd,1.83,2.11,0.18
