outcome,probability
Netanyahu coalition,0.086
Centre coalition (own majority),0.392
Centre + Ra'am,0.091
Centre-haredi coalition,0.124
Centre minority (outside support),0.07
Unity govt (Likud without Netanyahu),0.033
No government -> repeat election,0.203
