family,2009,2013,2015,2019a,2019s,2020,2021,2022,pooled_mean
arab,-2.7777777777777786,-0.2727272727272725,-0.375,1.2222222222222223,-0.7142857142857135,-1.0,8.881784197001252e-16,-1.5714285714285712,-0.6861246392496391
centre_left,0.8888888888888866,-5.60909090909091,0.5,-0.8888888888888902,-1.7142857142857135,1.0,-2.8571428571428568,5.285714285714286,-0.4243506493506498
haredi,-0.44444444444444375,-1.6363636363636358,0.875,-4.333333333333334,-0.2857142857142856,0.125,-0.7142857142857144,-1.4285714285714288,-0.9803391053391053
right,2.5555555555555554,9.174242424242422,-1.0,4.722222222222222,4.380952380952378,-0.125,3.714285714285716,-2.285714285714284,2.6420680014430014
