cycle,mae_3to6wk,mae_final,late_movement_helped
2009,1.4886363636363635,1.6363636363636367,-0.14772727272727315
2013,2.5871212121212124,2.0761707988980715,0.5109504132231408
2015,1.8909090909090909,1.8636363636363635,0.027272727272727337
2019a,2.583760683760684,2.987179487179488,-0.4034188034188042
2019s,1.5333333333333337,0.8809523809523807,0.652380952380953
2020,1.4583333333333333,0.65625,0.8020833333333333
2021,2.353846153846154,1.0659340659340661,1.2879120879120878
2022,1.2424242424242422,1.0389610389610389,0.20346320346320335
