polled,died,mean_actual,n
0.5-3.5,0.4444444444444444,1.8888888888888888,9
3.5-4.5 (parked at 4),0.2222222222222222,3.3333333333333335,9
4.5-5.5,0.0,5.777777777777778,9
5.5-7.5,0.09090909090909091,5.681818181818182,22
