,0
balad_splits,0.1
rzp_alone,0.35
rzp_merge_otzma,0.05
rzp_merge_likud,0.45
rzp_withdraws,0.15
zionist_home_folds,0.7
blue_white_folds,0.75
unity_folds,0.8
segalovitz_joins_raam,0.5
