bloc_swing_sd,family_shocks,p_nb_61,nb_mean
2.5,True,0.02,48.2
2.5,False,0.013,48.3
3.5,True,0.041,48.1
3.5,False,0.033,48.3
4.5,True,0.065,48.1
4.5,False,0.058,48.3
