,0
bloc_sd,3.358
anchor_likud,-2.297
anchor_leader,-1.736
resid_base,1.83
resid_slope,0.044
family_arab_mean,-0.323
family_arab_sd,1.449
family_haredi_mean,-1.352
family_haredi_sd,1.768
